Edge ID,Lane ID,Total Vehicle Count,avg_waiting_time
636647587#2,Lane 1,46,16.05
636647587#2,Lane 2,45,15.48
636647587#2,Lane 3,73,16.15
636647587#2,All Lanes,164,15.89
1306997822#2,Lane 1,25,8.02
1306997822#2,Lane 2,84,19
1306997822#2,Lane 3,148,41.43
1306997822#2,All Lanes,257,22.81
159072600#3,Lane 1,62,14.73
159072600#3,Lane 2,46,16.05
159072600#3,Lane 3,60,13.89
159072600#3,All Lanes,168,14.89
53823318#1,Lane 1,15,12.3
53823318#1,Lane 2,3,5.60
53823318#1,Lane 3,1,0
53823318#1,All Lanes,19,6.90
